student_id,date,attendance_status
S1017,2025-10-17,Present
S1017,2025-09-29,Absent
S1017,2025-10-30,Present
S1017,2025-11-01,Present
S1017,2025-10-01,Present
S1017,2025-08-27,Present
S1017,2025-11-17,Absent
S1017,2025-08-15,Absent
S1017,2025-11-16,Present
S1017,2025-11-22,Present
S1017,2025-11-13,Present
S1017,2025-08-24,Present
S1017,2025-10-06,Absent
S1017,2025-08-02,Present
S1017,2025-09-02,Absent
S1017,2025-08-18,Present
S1018,2025-11-04,Present
S1018,2025-10-30,Present
S1018,2025-08-27,Present
S1018,2025-09-04,Present
S1018,2025-08-02,Present
S1018,2025-08-18,Absent
S1018,2025-11-15,Present
S1018,2025-10-25,Absent
S1018,2025-11-04,Present
S1018,2025-09-14,Present
S1018,2025-10-05,Present
S1018,2025-10-05,Absent
S1018,2025-08-17,Present
S1018,2025-09-28,Present
S1018,2025-09-07,Absent
S1018,2025-10-21,Present
S1018,2025-09-04,Absent
S1018,2025-08-04,Absent
S1018,2025-09-28,Absent
S1018,2025-10-05,Absent
S1019,2025-08-29,Absent
S1019,2025-10-13,Present
S1019,2025-09-09,Present
S1019,2025-10-18,Absent
S1019,2025-10-13,Absent
S1019,2025-08-07,Present
S1019,2025-09-04,Present
S1019,2025-10-16,Absent
S1019,2025-11-24,Absent
S1019,2025-08-26,Present
S1019,2025-11-21,Absent
S1019,2025-10-24,Absent
S1019,2025-11-03,Present
S1019,2025-09-30,Present
S1019,2025-08-22,Absent
S1019,2025-09-09,Present
S1019,2025-09-07,Present
S1019,2025-08-07,Present
S1019,2025-10-11,Absent
S1019,2025-11-21,Present
S1020,2025-10-29,Absent
S1020,2025-08-03,Present
S1020,2025-08-24,Absent
S1020,2025-08-22,Absent
S1020,2025-09-21,Present
S1020,2025-10-27,Present
S1020,2025-08-18,Present
S1020,2025-10-23,Absent
S1020,2025-11-06,Absent
S1020,2025-08-09,Present
S1020,2025-11-08,Absent
S1020,2025-11-04,Absent
S1020,2025-09-03,Absent
S1020,2025-09-12,Absent
S1020,2025-11-07,Present
S1020,2025-09-23,Present
S1020,2025-09-02,Present
S1020,2025-10-19,Present
S1020,2025-11-04,Present
S1020,2025-11-07,Absent
S1021,2025-11-01,Absent
S1021,2025-11-03,Absent
S1021,2025-10-16,Present
S1021,2025-10-03,Absent
S1021,2025-08-09,Absent
S1021,2025-08-16,Absent
S1021,2025-10-22,Present
S1021,2025-09-23,Absent
S1021,2025-10-09,Present
S1021,2025-09-12,Absent
S1021,2025-09-11,Present
S1021,2025-09-27,Present
S1021,2025-09-20,Absent
S1021,2025-11-08,Present
S1021,2025-10-10,Present
S1021,2025-10-10,Present
S1021,2025-09-10,Absent
S1021,2025-09-02,Present
S1021,2025-08-18,Absent
S1021,2025-09-21,Absent
S1022,2025-10-19,Present
S1022,2025-09-29,Present
S1022,2025-10-02,Present
S1022,2025-10-01,Present
S1022,2025-08-28,Present
S1022,2025-10-27,Absent
S1022,2025-08-10,Absent
S1022,2025-10-11,Present
S1022,2025-09-05,Absent
S1022,2025-10-26,Present
S1022,2025-10-10,Present
S1022,2025-09-14,Present
S1022,2025-09-26,Absent
S1022,2025-08-03,Absent
S1022,2025-10-01,Present
S1022,2025-10-06,Present
S1022,2025-09-14,Present
S1022,2025-11-16,Absent
S1022,2025-10-08,Absent
S1022,2025-08-15,Present
S1023,2025-08-19,Present
S1023,2025-10-02,Present
S1023,2025-11-13,Absent
S1023,2025-08-11,Absent
S1023,2025-08-13,Present
S1023,2025-09-28,Present
S1023,2025-10-06,Present
S1023,2025-09-23,Absent
S1023,2025-11-19,Absent
S1023,2025-08-20,Absent
S1023,2025-10-20,Present
S1023,2025-09-15,Present
S1023,2025-09-08,Present
S1023,2025-09-12,Absent
S1023,2025-09-26,Absent
S1023,2025-08-07,Absent
S1023,2025-09-16,Absent
S1023,2025-10-05,Present
S1023,2025-11-17,Present
S1023,2025-10-22,Absent
S1024,2025-08-27,Present
S1024,2025-11-03,Present
S1024,2025-10-31,Absent
S1024,2025-08-02,Absent
S1024,2025-08-10,Absent
S1024,2025-08-20,Absent
S1024,2025-10-30,Present
S1024,2025-11-20,Absent
S1024,2025-09-02,Present
S1024,2025-08-22,Absent
S1024,2025-09-10,Absent
S1024,2025-09-05,Absent
S1024,2025-09-06,Absent
S1024,2025-11-23,Absent
S1024,2025-07-29,Present
S1024,2025-10-17,Absent
S1024,2025-09-21,Absent
S1024,2025-10-22,Absent
S1024,2025-08-03,Absent
S1024,2025-11-21,Absent
S1025,2025-08-30,Absent
S1025,2025-08-27,Absent
S1025,2025-11-01,Present
S1025,2025-10-03,Absent
S1025,2025-10-07,Present
S1025,2025-11-16,Present
S1025,2025-08-10,Absent
S1025,2025-11-06,Absent
S1025,2025-11-15,Absent
S1025,2025-08-11,Absent
S1025,2025-11-13,Absent
S1025,2025-10-11,Present
S1025,2025-09-24,Present
S1025,2025-10-31,Absent
S1025,2025-08-08,Absent
S1025,2025-09-08,Present
S1025,2025-10-31,Present
S1025,2025-07-29,Present
S1025,2025-11-05,Present
S1025,2025-09-30,Absent
S1026,2025-09-01,Absent
S1026,2025-09-21,Absent
S1026,2025-09-20,Absent
S1026,2025-07-30,Present
S1026,2025-10-14,Present
S1026,2025-09-18,Present
S1026,2025-11-22,Absent
S1026,2025-11-10,Present
S1026,2025-08-23,Absent
S1026,2025-09-07,Absent
S1026,2025-10-09,Absent
S1026,2025-08-21,Absent
S1026,2025-10-18,Absent
S1026,2025-10-29,Present
S1026,2025-09-04,Absent
S1026,2025-09-26,Absent
S1026,2025-08-19,Present
S1026,2025-08-06,Absent
S1026,2025-10-15,Present
S1026,2025-10-31,Present
S1027,2025-09-30,Absent
S1027,2025-09-26,Present
S1027,2025-09-17,Absent
S1027,2025-08-29,Present
S1027,2025-08-14,Present
S1027,2025-11-19,Present
S1027,2025-11-04,Present
S1027,2025-08-29,Present
S1027,2025-11-12,Present
S1027,2025-10-10,Present
S1027,2025-08-15,Present
S1027,2025-08-21,Absent
S1027,2025-11-05,Present
S1027,2025-08-14,Present
S1027,2025-09-18,Absent
S1027,2025-11-08,Absent
S1027,2025-08-27,Absent
S1027,2025-08-04,Present
S1027,2025-08-12,Present
S1027,2025-08-22,Present
S1028,2025-11-06,Absent
S1028,2025-09-28,Present
S1028,2025-08-02,Present
S1028,2025-08-20,Present
S1028,2025-08-18,Present
S1028,2025-11-15,Absent
S1028,2025-09-06,Absent
S1028,2025-09-21,Absent
S1028,2025-08-05,Absent
S1028,2025-10-11,Absent
S1028,2025-08-07,Absent
S1028,2025-09-20,Absent
S1028,2025-10-05,Absent
S1028,2025-08-16,Present
S1028,2025-08-11,Absent
S1028,2025-08-22,Absent
S1028,2025-08-07,Present
S1028,2025-08-28,Absent
S1028,2025-07-31,Absent
S1028,2025-09-07,Absent
S1029,2025-10-07,Present
S1029,2025-09-16,Absent
S1029,2025-10-27,Present
S1029,2025-08-01,Absent
S1029,2025-11-04,Present
S1029,2025-10-10,Present
S1029,2025-10-25,Present
S1029,2025-09-25,Absent
S1029,2025-11-02,Absent
S1029,2025-07-31,Absent
S1029,2025-08-30,Absent
S1029,2025-10-29,Present
S1029,2025-09-05,Present
S1029,2025-10-10,Present
S1029,2025-10-14,Absent
S1029,2025-11-04,Absent
S1029,2025-11-18,Present
S1029,2025-10-03,Absent
S1029,2025-11-18,Absent
S1029,2025-09-16,Present
S1030,2025-10-10,Present
S1030,2025-08-17,Present
S1030,2025-08-18,Absent
S1030,2025-09-22,Present
S1030,2025-09-03,Present
S1030,2025-10-18,Absent
S1030,2025-08-07,Absent
S1030,2025-11-22,Absent
S1030,2025-10-27,Present
S1030,2025-08-12,Absent
S1030,2025-09-18,Absent
S1030,2025-10-28,Present
S1030,2025-09-06,Present
S1030,2025-08-20,Present
S1030,2025-10-09,Present
S1030,2025-08-24,Present
S1030,2025-11-22,Absent
S1030,2025-08-22,Absent
S1030,2025-08-23,Present
S1030,2025-08-02,Absent
S1031,2025-08-27,Absent
S1031,2025-09-19,Absent
S1031,2025-08-24,Present
S1031,2025-08-09,Present
S1031,2025-10-14,Present
S1031,2025-09-22,Absent
S1031,2025-09-26,Present
S1031,2025-09-04,Absent
S1031,2025-08-30,Absent
S1031,2025-09-22,Present
S1031,2025-09-12,Absent
S1031,2025-08-07,Present
S1031,2025-09-11,Absent
S1031,2025-08-26,Present
S1031,2025-11-07,Present
S1031,2025-09-17,Present
S1031,2025-11-24,Absent
S1031,2025-09-27,Present
S1031,2025-09-03,Present
S1031,2025-08-05,Absent
S1032,2025-08-26,Absent
S1032,2025-10-11,Present
S1032,2025-08-07,Present
S1032,2025-10-07,Present
S1032,2025-10-04,Present
S1032,2025-08-01,Absent
S1032,2025-10-05,Absent
S1032,2025-10-14,Present
S1032,2025-08-21,Present
S1032,2025-10-27,Present
S1032,2025-09-03,Absent
S1032,2025-11-08,Absent
S1032,2025-10-25,Absent
S1032,2025-10-22,Absent
S1032,2025-08-13,Present
S1032,2025-08-01,Absent
S1032,2025-10-11,Absent
S1032,2025-08-03,Absent
S1032,2025-10-14,Absent
S1032,2025-10-05,Present
S1033,2025-08-25,Absent
S1033,2025-08-21,Present
S1033,2025-10-09,Present
S1033,2025-11-09,Absent
S1033,2025-09-19,Present
S1033,2025-10-02,Absent
S1033,2025-09-11,Absent
S1033,2025-08-10,Present
S1033,2025-09-02,Absent
S1033,2025-10-06,Present
S1033,2025-10-23,Present
S1033,2025-11-11,Absent
S1033,2025-08-14,Absent
S1033,2025-10-19,Absent
S1033,2025-09-03,Absent
S1033,2025-11-16,Absent
S1033,2025-09-10,Absent
S1033,2025-10-13,Absent
S1033,2025-10-25,Present
S1033,2025-11-21,Absent
S1034,2025-11-10,Present
S1034,2025-10-12,Present
S1034,2025-10-13,Present
S1034,2025-10-03,Present
S1034,2025-07-31,Absent
S1034,2025-11-13,Present
S1034,2025-08-01,Absent
S1034,2025-08-21,Present
S1034,2025-11-16,Absent
S1034,2025-09-21,Present
S1034,2025-09-11,Present
S1034,2025-08-09,Present
S1034,2025-10-31,Present
S1034,2025-11-10,Absent
S1034,2025-11-14,Absent
S1034,2025-08-08,Present
S1034,2025-09-29,Present
S1034,2025-08-22,Absent
S1034,2025-09-27,Absent
S1034,2025-10-19,Absent
S1035,2025-08-07,Absent
S1035,2025-11-16,Present
S1035,2025-07-31,Absent
S1035,2025-10-14,Present
S1035,2025-08-10,Present
S1035,2025-10-13,Present
S1035,2025-08-12,Present
S1035,2025-09-02,Present
S1035,2025-10-25,Absent
S1035,2025-08-10,Present
S1035,2025-10-24,Present
S1035,2025-11-21,Present
S1035,2025-11-09,Present
S1035,2025-11-21,Absent
S1035,2025-09-01,Absent
S1035,2025-10-25,Present
S1035,2025-11-05,Present
S1035,2025-09-10,Absent
S1035,2025-09-12,Present
S1035,2025-09-27,Present
S1036,2025-08-11,Absent
S1036,2025-11-17,Absent
S1036,2025-10-25,Present
S1036,2025-09-06,Present
S1036,2025-09-14,Absent
S1036,2025-11-10,Absent
S1036,2025-09-11,Present
S1036,2025-10-23,Absent
S1036,2025-08-05,Present
S1036,2025-09-23,Absent
S1036,2025-10-29,Present
S1036,2025-11-25,Absent
S1036,2025-11-13,Absent
S1036,2025-07-29,Present
S1036,2025-10-31,Present
S1036,2025-09-21,Present
S1036,2025-08-11,Present
S1036,2025-07-29,Absent
S1036,2025-10-18,Present
S1036,2025-08-12,Absent
S1037,2025-10-12,Absent
S1037,2025-10-02,Absent
S1037,2025-11-23,Present
S1037,2025-11-05,Absent
S1037,2025-08-06,Absent
S1037,2025-10-12,Present
S1037,2025-11-04,Present
S1037,2025-08-09,Present
S1037,2025-08-24,Absent
S1037,2025-10-06,Present
S1037,2025-08-12,Absent
S1037,2025-10-25,Present
S1037,2025-11-12,Absent
S1037,2025-09-06,Present
S1037,2025-11-19,Present
S1037,2025-09-02,Present
S1037,2025-09-05,Absent
S1037,2025-08-03,Present
S1037,2025-11-15,Absent
S1037,2025-09-22,Absent
S1038,2025-11-07,Present
S1038,2025-08-26,Absent
S1038,2025-10-19,Present
S1038,2025-11-22,Absent
S1038,2025-09-17,Absent
S1038,2025-11-23,Present
S1038,2025-09-21,Absent
S1038,2025-09-19,Present
S1038,2025-11-01,Absent
S1038,2025-10-25,Present
S1038,2025-10-02,Absent
S1038,2025-09-08,Present
S1038,2025-08-19,Absent
S1038,2025-09-10,Present
S1038,2025-08-28,Absent
S1038,2025-08-11,Present
S1038,2025-09-30,Absent
S1038,2025-11-15,Present
S1038,2025-11-24,Present
S1038,2025-10-24,Absent
S1039,2025-09-22,Absent
S1039,2025-08-05,Absent
S1039,2025-09-23,Present
S1039,2025-10-02,Present
S1039,2025-08-08,Absent
S1039,2025-10-12,Absent
S1039,2025-10-02,Present
S1039,2025-10-04,Present
S1039,2025-08-16,Present
S1039,2025-08-15,Present
S1039,2025-11-16,Absent
S1039,2025-08-23,Absent
S1039,2025-08-22,Absent
S1039,2025-10-30,Absent
S1039,2025-08-12,Absent
S1039,2025-08-22,Present
S1039,2025-08-08,Absent
S1039,2025-07-31,Absent
S1039,2025-09-08,Absent
S1039,2025-09-01,Absent
S1040,2025-10-12,Absent
S1040,2025-11-13,Present
S1040,2025-09-09,Present
S1040,2025-09-01,Present
S1040,2025-10-25,Present
S1040,2025-08-22,Present
S1040,2025-08-25,Absent
S1040,2025-09-16,Absent
S1040,2025-10-18,Absent
S1040,2025-09-04,Present
S1040,2025-10-14,Present
S1040,2025-10-17,Absent
S1040,2025-07-30,Present
S1040,2025-09-18,Present
S1040,2025-09-28,Present
S1040,2025-10-27,Present
S1040,2025-11-02,Present
S1040,2025-11-12,Present
S1040,2025-08-24,Present
S1040,2025-10-15,Absent
S1041,2025-08-28,Present
S1041,2025-09-14,Absent
S1041,2025-11-15,Absent
S1041,2025-09-09,Present
S1041,2025-07-30,Present
S1041,2025-10-02,Present
S1041,2025-10-05,Absent
S1041,2025-08-22,Absent
S1041,2025-11-18,Absent
S1041,2025-09-24,Present
S1041,2025-10-21,Absent
S1041,2025-11-06,Absent
S1041,2025-08-31,Present
S1041,2025-11-25,Present
S1041,2025-08-01,Present
S1041,2025-10-26,Present
S1041,2025-11-17,Absent
S1041,2025-10-27,Absent
S1041,2025-10-20,Present
S1041,2025-10-02,Absent
S1042,2025-08-08,Absent
S1042,2025-10-28,Absent
S1042,2025-08-21,Absent
S1042,2025-10-21,Absent
S1042,2025-11-22,Absent
S1042,2025-09-30,Absent
S1042,2025-08-13,Absent
S1042,2025-09-29,Absent
S1042,2025-09-29,Absent
S1042,2025-09-25,Present
S1042,2025-10-25,Absent
S1042,2025-10-19,Absent
S1042,2025-08-22,Present
S1042,2025-10-11,Present
S1042,2025-10-06,Absent
S1042,2025-10-29,Absent
S1042,2025-09-30,Present
S1042,2025-09-29,Absent
S1042,2025-07-31,Present
S1042,2025-08-23,Present
S1043,2025-08-02,Absent
S1043,2025-08-21,Present
S1043,2025-11-18,Absent
S1043,2025-09-26,Present
S1043,2025-11-03,Present
S1043,2025-09-29,Absent
S1043,2025-10-26,Present
S1043,2025-09-21,Absent
S1043,2025-11-12,Present
S1043,2025-11-22,Absent
S1043,2025-09-16,Absent
S1043,2025-09-18,Absent
S1043,2025-09-24,Present
S1043,2025-08-19,Absent
S1043,2025-09-29,Absent
S1043,2025-09-16,Present
S1043,2025-08-08,Absent
S1043,2025-11-19,Present
S1043,2025-08-15,Present
S1043,2025-08-08,Absent
S1044,2025-08-29,Absent
S1044,2025-10-29,Absent
S1044,2025-11-21,Absent
S1044,2025-09-07,Present
S1044,2025-11-11,Present
S1044,2025-11-09,Present
S1044,2025-11-09,Present
S1044,2025-09-25,Absent
S1044,2025-08-27,Absent
S1044,2025-09-24,Absent
S1044,2025-11-19,Present
S1044,2025-08-29,Absent
S1044,2025-11-06,Present
S1044,2025-08-12,Present
S1044,2025-08-16,Present
S1044,2025-10-06,Absent
S1044,2025-10-29,Absent
S1044,2025-08-04,Present
S1044,2025-11-05,Present
S1044,2025-09-10,Present
S1045,2025-11-18,Present
S1045,2025-11-24,Present
S1045,2025-08-18,Present
S1045,2025-09-28,Absent
S1045,2025-08-05,Present
S1045,2025-09-25,Present
S1045,2025-09-14,Absent
S1045,2025-09-18,Absent
S1045,2025-10-20,Present
S1045,2025-10-07,Absent
S1045,2025-08-10,Absent
S1045,2025-11-13,Absent
S1045,2025-10-12,Present
S1045,2025-09-19,Present
S1045,2025-11-06,Present
S1045,2025-09-30,Present
S1045,2025-09-29,Absent
S1045,2025-11-08,Present
S1045,2025-10-14,Present
S1045,2025-08-04,Absent
S1046,2025-08-09,Present
S1046,2025-07-29,Absent
S1046,2025-10-13,Absent
S1046,2025-09-24,Present
S1046,2025-08-11,Present
S1046,2025-10-14,Present
S1046,2025-10-08,Present
S1046,2025-10-04,Absent
S1046,2025-09-06,Absent
S1046,2025-08-27,Present
S1046,2025-09-04,Present
S1046,2025-10-03,Present
S1046,2025-11-22,Absent
S1046,2025-09-23,Absent
S1046,2025-09-15,Absent
S1046,2025-10-15,Present
S1046,2025-09-11,Present
S1046,2025-07-29,Absent
S1046,2025-09-27,Absent
S1046,2025-09-08,Present
S1047,2025-10-07,Absent
S1047,2025-10-29,Absent
S1047,2025-08-18,Absent
S1047,2025-09-23,Absent
S1047,2025-10-12,Absent
S1047,2025-10-09,Present
S1047,2025-11-09,Present
S1047,2025-10-01,Absent
S1047,2025-11-23,Absent
S1047,2025-10-18,Present
S1047,2025-07-31,Present
S1047,2025-11-03,Present
S1047,2025-09-12,Absent
S1047,2025-09-07,Absent
S1047,2025-08-31,Absent
S1047,2025-10-16,Absent
S1047,2025-09-12,Present
S1047,2025-11-17,Present
S1047,2025-09-11,Absent
S1047,2025-10-05,Present
S1048,2025-09-27,Absent
S1048,2025-08-11,Present
S1048,2025-10-31,Present
S1048,2025-09-28,Absent
S1048,2025-09-04,Present
